병원명,방문자리뷰,블로그리뷰,총리뷰수,평점,긍정언급,부정언급,긍정키워드,부정키워드,최근리뷰,date
하루한의원,410,713,1123,0.0,0.0,0.0,,,서울 성동구 왕십리로 311 2층,2026-05-09
이로움한의원,557,527,1084,0.0,0.0,0.0,,,"이미지 갯수
+149",2026-05-09
함소아한의원 왕십리,290,447,737,4.7,0.0,0.0,,,서울 성동구 왕십리로 326 세신빌딩 3층,2026-05-09
경희본한의원,86,148,234,0.0,0.0,0.0,,,"서울 성동구 왕십리로 322 201호

* 왕십리 역 3번 출구 하차 후 횡단보도 건너 ...
내용 더보기",2026-05-09
왕십리옥토한의원,132,18,150,0.0,0.0,0.0,,,"서울 성동구 왕십리로 336 렉스프리미엄오피스텔 2층 203호

진료 중
18:00에 진료 종료
18시 0분에 진료 종료
펼쳐보기",2026-05-09
하루한의원,410,713,1123,,,,,,,2026-05-09
이로움한의원,557,527,1084,,,,,,,2026-05-09
함소아한의원 왕십리,290,447,737,,,,,,,2026-05-09
경희본한의원,86,148,234,,,,,,,2026-05-09
왕십리옥토한의원,132,18,150,,,,,,,2026-05-09
하루한의원,410,713,1123,,,,,,,2026-05-09
이로움한의원,557,527,1084,,,,,,,2026-05-09
함소아한의원 왕십리,290,447,737,,,,,,,2026-05-09
경희본한의원,86,148,234,,,,,,,2026-05-09
왕십리옥토한의원,132,18,150,,,,,,,2026-05-09
하루한의원,410,713,1123,,,,,,,2026-05-09
이로움한의원,557,527,1084,,,,,,,2026-05-09
함소아한의원 왕십리,290,447,737,,,,,,,2026-05-09
경희본한의원,86,148,234,,,,,,,2026-05-09
왕십리옥토한의원,132,18,150,,,,,,,2026-05-09
